contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-hymns-00026,00259,0,13,13.0,69,69,69,69,67,67,67,67,67,67,67,67,69,69,69,69,67,67,67,67,67,67,67,65,65,65,65,67,67,67,67,67,67,67,69,69,69,69,65,65,65,65,64,64,64,64,62,62,62,62
liber-hymns-00027,00259,1,7,7.0,67,67,67,67,67,67,67,67,67,67,67,67,67,67,64,64,64,64,64,64,64,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,65,65,65,65,65,65,65,65
liber-hymns-00028,00259,2,14,14.0,65,65,65,65,69,69,69,69,69,69,69,69,69,69,69,69,69,69,67,67,67,65,65,65,65,67,67,67,67,67,67,67,69,69,69,65,65,65,65,64,64,64,62,62,62,62,65,65,65,65
liber-hymns-00029,00259,3,10,10.0,65,65,65,65,65,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,62,62,62,62,62,60,60,60,60,60,64,64,64,64,64,65,65,65,65,65,62,62,62,62,62,62,62,62,62,62
liber-hymns-00030,00259,4,10,10.0,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67
liber-hymns-00031,00259,5,12,12.0,67,67,67,67,67,69,69,69,69,72,72,72,72,72,72,72,72,74,74,74,74,72,72,72,72,72,72,72,72,71,71,71,71,69,69,69,69,67,67,67,67,69,69,69,69,69,69,69,69,69
liber-hymns-00032,00259,6,11,11.0,69,69,69,69,69,69,69,69,69,67,67,67,67,67,69,69,69,69,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,69,69,69,69,67,67,67,67,67
liber-hymns-00033,00259,7,11,11.0,67,67,67,67,67,69,69,69,69,72,72,72,72,72,72,72,72,72,74,74,74,74,74,72,72,72,72,71,71,71,71,71,69,69,69,69,67,67,67,67,67,69,69,69,69,69,69,69,69,69
liber-hymns-00034,00259,8,10,10.0,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67
liber-hymns-00035,00259,9,11,11.0,67,67,67,67,67,69,69,69,69,72,72,72,72,72,72,72,72,72,74,74,74,74,74,72,72,72,72,71,71,71,71,71,69,69,69,69,67,67,67,67,67,69,69,69,69,69,69,69,69,69
liber-hymns-00036,00259,10,10,10.0,69,69,69,69,69,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67
